# Name tokens from the Wikidata entity registry: every given-name and family-name item
# borne by at least five subjects, written as each of the registry's labels for it, with
# the token's dominant Unicode script and the item's bearer count as prominence. A row
# says the registry records people bearing the token as a name part — 王 is a family name
# written in Han script; Alexander, Александр and 亚历山大 are one given name written
# three ways. Whether a sampled value is made of such tokens is the caller's question,
# answered by votes this file does not cast.
#
# Name: Wikidata given and family names
# Publisher: Wikidata
# Kind: words
# Source: Wikidata, items referenced as a person's given name (P735) or family name
#   (P734) by at least five subjects, under every rdfs:label in every language; the
#   script is the majority Unicode script of the token's letters. Queried via the
#   QLever SPARQL endpoint (https://qlever.dev/api/wikidata).
# Licence: CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).
# Regenerate: ./gradlew :lexicon-extraction:extractWikidataNames
#
# token	script	kind	bearers
Abels	LATIN	family	49
Abelsen	LATIN	family	13
Abelson	LATIN	family	23
Abelsted	LATIN	family	5
Aben	LATIN	family	10
Abena	LATIN	given	18
Abenante	LATIN	family	6
Abend	LATIN	family	15
Abendroth	LATIN	family	38
Abendschein	LATIN	family	7
Abeni	LATIN	family	5
Abenia	LATIN	family	6
Abenius	LATIN	family	16
Abenov	LATIN	family	8
Abens	LATIN	family	10
Abensour	LATIN	family	9
Abensur	LATIN	family	11
Aber	LATIN	family	27
Abera	LATIN	family	13
Aberasturi	LATIN	family	5
Aberastury	LATIN	family	7
Aberbach	LATIN	family	7
Abercrombie	LATIN	family	77
Abercrombie	LATIN	given	27
Abercromby	LATIN	family	72
Abercromby	LATIN	given	35
Abercron	LATIN	family	7
Aberdeen	LATIN	family	9
Aberdeen	LATIN	given	9
Aberdein	LATIN	family	7
Aberer	LATIN	family	10
Aberg	LATIN	family	11
Abergel	LATIN	family	15
Aberle	LATIN	family	63
Aberli	LATIN	family	7
Abernathy	LATIN	family	64
Abernethy	LATIN	family	89
Aberson	LATIN	family	6
Abert	LATIN	family	22
Abesadze	LATIN	family	24
Abesser	LATIN	family	7
Abesámis	LATIN	family	5
Abete	LATIN	family	7
Abetz	LATIN	family	11
Abeykoon	LATIN	family	7
Abeyta	LATIN	family	14
Abgar	LATIN	given	12
Abgarowicz	LATIN	family	5
Abgaryan	LATIN	family	8
